entry_id,field,field_path,original_file,original_line,original_code,original_desc,fixed_file,fixed_line,fixed_code,fixed_desc,original_value_json,fixed_value_json,change_rationale
entry-00241,trace,trace,multiple (per-step RUN/FROM/ENTRYPOINT nodes),see original row,7 taint-style trace nodes,see original_value_json for the exact pre-fix trace array,scripts/e2e/Dockerfile,1-23,"FROM node:22-bookworm

RUN corepack enable

WORKDIR /app

ENV NODE_OPTIONS=""--disable-warning=ExperimentalWarning""

COPY package.json pnpm-lock.yaml pnpm-workspace.yaml tsconfig.json tsdown.config.ts vitest.config.ts vitest.e2e.config.ts openclaw.mjs ./
COPY src ./src
COPY test ./test
COPY scripts ./scripts
COPY docs ./docs
COPY skills ./skills
COPY patches ./patches
COPY ui ./ui
COPY extensions/memory-core ./extensions/memory-core

RUN pnpm install --frozen-lockfile
RUN pnpm build
RUN pnpm ui:build

CMD [""bash""]","对 scripts/e2e/Dockerfile 第 1-23 行整段范围的单一配置传播步：声明端（FROM node:22-bookworm）确立 root 默认用户，构建步骤（corepack enable / pnpm install / pnpm build 等）均以 root 身份执行但未改变权限状态，运行时端（CMD [""bash""]）以 root 进程完成兑现。三者构成完整的配置—构建—运行时特权传递链；其中关键的失败点是配置层面缺少 USER 指令。由于该路径不存在传统污点传播，trace 折叠为单节点，code 字段包含完整 Dockerfile 以便人工核查。","[{""code"":""FROM node:22-bookworm"",""desc"":""构建阶段起始于 FROM node:22-bookworm，该基础镜像将 root 设为默认活跃用户。此构建层次奠定了整条特权传递路径的基础：若后续层次中不显式调用 USER 指令，root 特权状态将向下贯穿所有 RUN、WORKDIR 及最终 CMD 层，是漏洞链路的第一个节点。"",""file"":""scripts/e2e/Dockerfile"",""line"":1},{""code"":""RUN corepack enable"",""desc"":""RUN corepack enable 以 root 身份在构建层次中激活 Node.js 包管理器框架 corepack。由于此时尚无 USER 指令将身份切换为非特权用户，该命令及其对系统目录的写操作全程以 uid=0 执行；随后的依赖安装与构建步骤将在同一 root 上下文中继续推进，特权状态沿构建阶段向下传递。"",""file"":""scripts/e2e/Dockerfile"",""line"":3},{""code"":""WORKDIR /app"",""desc"":""WORKDIR /app 在 root 身份下创建或切换到 /app 工作目录，该目录及其所有后续写入内容均归属 root 所有。随后的依赖安装与编译操作将在此目录中以 root 权限进行，构建层次中的文件系统权限设置进一步固化了 root 特权上下文，为漏洞链路的延续提供了环境基础。"",""file"":""scripts/e2e/Dockerfile"",""line"":5},{""code"":""RUN pnpm install --frozen-lockfile"",""desc"":""RUN pnpm install --frozen-lockfile 在 root 权限下执行依赖包的锁定安装，所有 node_modules 文件均以 root 身份写入文件系统。在构建阶段向下传递的过程中，此步骤延续了自 FROM 层以来的 root 特权上下文，且仍无任何 USER 指令介入，依赖安装完成后特权状态随构建缓存层持续存在。"",""file"":""scripts/e2e/Dockerfile"",""line"":19},{""code"":""RUN pnpm build"",""desc"":""RUN pnpm build 以 root 身份执行项目主体的编译构建流程，生成的构建产物及中间文件均归 root 所有。随后此特权状态在构建层次中持续向下传递；构建过程中若存在任何供应链风险，root 权限将使其影响范围扩展至整个容器文件系统，加重了漏洞的潜在危害。"",""file"":""scripts/e2e/Dockerfile"",""line"":20},{""code"":""RUN pnpm ui:build"",""desc"":""RUN pnpm ui:build 在 root 上下文中完成前端界面资源的编译，是构建阶段的最后一个 RUN 层次。至此，所有构建操作均以 root 身份完成且未引入任何用户切换，随后镜像即进入 CMD 声明阶段；特权状态在构建链路末端仍未被约束，直接延续至容器运行时。"",""file"":""scripts/e2e/Dockerfile"",""line"":21},{""code"":""CMD [\""bash\""]"",""desc"":""CMD [\""bash\""] 是构建层次链路的终点，将 bash shell 注册为容器默认启动进程。由于从 FROM 指令至此的全部构建阶段均未出现 USER 切换，bash 进程在容器启动时继承了完整的 root 特权，与 FROM 层确立的 root 上下文形成闭合；任何进入容器的操作入口均具备 uid=0 的完整权限。"",""file"":""scripts/e2e/Dockerfile"",""line"":23}]","[{""code"":""FROM node:22-bookworm\n\nRUN corepack enable\n\nWORKDIR /app\n\nENV NODE_OPTIONS=\""--disable-warning=ExperimentalWarning\""\n\nCOPY package.json pnpm-lock.yaml pnpm-workspace.yaml tsconfig.json tsdown.config.ts vitest.config.ts vitest.e2e.config.ts openclaw.mjs ./\nCOPY src ./src\nCOPY test ./test\nCOPY scripts ./scripts\nCOPY docs ./docs\nCOPY skills ./skills\nCOPY patches ./patches\nCOPY ui ./ui\nCOPY extensions/memory-core ./extensions/memory-core\n\nRUN pnpm install --frozen-lockfile\nRUN pnpm build\nRUN pnpm ui:build\n\nCMD [\""bash\""]"",""desc"":""对 scripts/e2e/Dockerfile 第 1-23 行整段范围的单一配置传播步：声明端（FROM node:22-bookworm）确立 root 默认用户，构建步骤（corepack enable / pnpm install / pnpm build 等）均以 root 身份执行但未改变权限状态，运行时端（CMD [\""bash\""]）以 root 进程完成兑现。三者构成完整的配置—构建—运行时特权传递链；其中关键的失败点是配置层面缺少 USER 指令。由于该路径不存在传统污点传播，trace 折叠为单节点，code 字段包含完整 Dockerfile 以便人工核查。"",""file"":""scripts/e2e/Dockerfile"",""line"":""1-23""}]","Collapsed verbose taint chain into a single config-propagation step: this vulnerability is a structural absence (missing USER / sudo-overridden USER), not a taint flow, so per-step tracing is misleading."
entry-00241,critical_operation,critical_operation,scripts/e2e/Dockerfile,23,"CMD [""bash""]",CMD 指令将 bash 设为容器的默认启动进程，由于整个 Dockerfile 从未插入 USER 指令切换至非特权账户，bash 进程在容器启动时以 root（uid=0）身份运行。这是过度特权漏洞的最终兑现点：任何获得 bash 会话的操作均拥有完整 root 权限，显著降低容器逃逸门槛。,scripts/e2e/Dockerfile,1-23,"FROM node:22-bookworm

RUN corepack enable

WORKDIR /app

ENV NODE_OPTIONS=""--disable-warning=ExperimentalWarning""

COPY package.json pnpm-lock.yaml pnpm-workspace.yaml tsconfig.json tsdown.config.ts vitest.config.ts vitest.e2e.config.ts openclaw.mjs ./
COPY src ./src
COPY test ./test
COPY scripts ./scripts
COPY docs ./docs
COPY skills ./skills
COPY patches ./patches
COPY ui ./ui
COPY extensions/memory-core ./extensions/memory-core

RUN pnpm install --frozen-lockfile
RUN pnpm build
RUN pnpm ui:build

CMD [""bash""]","scripts/e2e/Dockerfile 第 1-23 行（整段配置）构成 CWE-250 过度特权漏洞的直接根因：从基础镜像声明到默认 CMD 注册，全文件没有任何 USER 指令来中断 root 特权向运行时进程的传递。特权状态在该范围内由 FROM 引入、由各 RUN/COPY 步骤承载、最终由 CMD [""bash""] 在容器启动时兑现为 root bash 进程。缺失的 USER 指令是结构性问题，因此 critical_operation 必须覆盖整段配置而非某一单行 sink。","{""code"":""CMD [\""bash\""]"",""desc"":""CMD 指令将 bash 设为容器的默认启动进程，由于整个 Dockerfile 从未插入 USER 指令切换至非特权账户，bash 进程在容器启动时以 root（uid=0）身份运行。这是过度特权漏洞的最终兑现点：任何获得 bash 会话的操作均拥有完整 root 权限，显著降低容器逃逸门槛。"",""file"":""scripts/e2e/Dockerfile"",""line"":23}","{""code"":""FROM node:22-bookworm\n\nRUN corepack enable\n\nWORKDIR /app\n\nENV NODE_OPTIONS=\""--disable-warning=ExperimentalWarning\""\n\nCOPY package.json pnpm-lock.yaml pnpm-workspace.yaml tsconfig.json tsdown.config.ts vitest.config.ts vitest.e2e.config.ts openclaw.mjs ./\nCOPY src ./src\nCOPY test ./test\nCOPY scripts ./scripts\nCOPY docs ./docs\nCOPY skills ./skills\nCOPY patches ./patches\nCOPY ui ./ui\nCOPY extensions/memory-core ./extensions/memory-core\n\nRUN pnpm install --frozen-lockfile\nRUN pnpm build\nRUN pnpm ui:build\n\nCMD [\""bash\""]"",""desc"":""scripts/e2e/Dockerfile 第 1-23 行（整段配置）构成 CWE-250 过度特权漏洞的直接根因：从基础镜像声明到默认 CMD 注册，全文件没有任何 USER 指令来中断 root 特权向运行时进程的传递。特权状态在该范围内由 FROM 引入、由各 RUN/COPY 步骤承载、最终由 CMD [\""bash\""] 在容器启动时兑现为 root bash 进程。缺失的 USER 指令是结构性问题，因此 critical_operation 必须覆盖整段配置而非某一单行 sink。"",""file"":""scripts/e2e/Dockerfile"",""line"":""1-23""}","Expanded from a single sink line (CMD/ENTRYPOINT) to the structural defect range: the root cause is the absence of USER instruction, so the whole Dockerfile must be marked to convey the structural absence."
entry-00241,entry_point,entry_point,scripts/e2e/Dockerfile,1,FROM node:22-bookworm,FROM 指令以 node:22-bookworm 作为基础镜像，该镜像内置默认用户为 root（uid=0）。整个构建文件自此层起始，既无 RUN useradd 创建非特权账户，也无 USER 指令切换身份，导致后续所有构建层次与最终容器进程均继承 root 特权上下文，构成 CWE-250 过度特权漏洞的源头。,scripts/e2e/Dockerfile,1,FROM node:22-bookworm,以 node:22-bookworm 为构建起点的基础镜像声明。该镜像内建默认活跃用户为 root（uid=0），FROM 指令由此把 root 上下文引入镜像，是整条特权传播链的源头；在缺少 USER 指令覆盖默认身份的配置类漏洞中，FROM 即 entry_point。,"{""code"":""FROM node:22-bookworm"",""desc"":""FROM 指令以 node:22-bookworm 作为基础镜像，该镜像内置默认用户为 root（uid=0）。整个构建文件自此层起始，既无 RUN useradd 创建非特权账户，也无 USER 指令切换身份，导致后续所有构建层次与最终容器进程均继承 root 特权上下文，构成 CWE-250 过度特权漏洞的源头。"",""file"":""scripts/e2e/Dockerfile"",""line"":1}","{""code"":""FROM node:22-bookworm"",""desc"":""以 node:22-bookworm 为构建起点的基础镜像声明。该镜像内建默认活跃用户为 root（uid=0），FROM 指令由此把 root 上下文引入镜像，是整条特权传播链的源头；在缺少 USER 指令覆盖默认身份的配置类漏洞中，FROM 即 entry_point。"",""file"":""scripts/e2e/Dockerfile"",""line"":1}",Retained FROM as entry_point; desc simplified to clearly state that this line establishes the unsafe default and that the missing USER is the structural defect.
entry-00241,vuln_category,vuln_category_l1/l2,(n/a),(n/a),特权提升 / 容器以不必要特权运行,(unchanged),(n/a),(n/a),特权提升 / 容器以不必要特权运行,(unchanged),"{""vuln_category_l1"":""特权提升"",""vuln_category_l2"":""容器以不必要特权运行""}","{""vuln_category_l1"":""特权提升"",""vuln_category_l2"":""容器以不必要特权运行""}",l1/l2 already accurate; no new meta category introduced (per Q11).
entry-00242,trace,trace,multiple (per-step RUN/FROM/ENTRYPOINT nodes),see original row,5 taint-style trace nodes,see original_value_json for the exact pre-fix trace array,scripts/e2e/Dockerfile.qr-import,1-9,"FROM node:22-bookworm

RUN corepack enable

WORKDIR /app

COPY . .

RUN pnpm install --frozen-lockfile",对 scripts/e2e/Dockerfile.qr-import 第 1-9 行整段范围的单一配置传播步：声明端确立 root 默认用户，构建端（corepack enable / COPY . . / pnpm install）以 root 身份执行但不改变权限状态，未声明运行时 CMD 但镜像默认行为仍以 root 运行。整个配置路径中缺少 USER 指令是关键失败点，因此 trace 折叠为单节点覆盖整段配置。,"[{""code"":""FROM node:22-bookworm"",""desc"":""漏洞传播链路的起点：选用 node:22-bookworm 作为基础镜像，其内建默认用户为 root。这一选择本身无误，但问题在于后续步骤始终未通过 USER 指令覆盖此默认值，使 root 身份从此处开始贯穿镜像构建的每一个阶段。"",""file"":""scripts/e2e/Dockerfile.qr-import"",""line"":1},{""code"":""RUN corepack enable"",""desc"":""接着在第二步，以继承自基础镜像的 root 身份启用 corepack，令 Node.js 原生包管理器切换机制在特权上下文中激活。这一操作本为常规配置，但在整个 Dockerfile 全程无 USER 指令的背景下，意味着包管理工具链的初始化同样由 root 完成，持续传递特权执行环境至后续步骤。"",""file"":""scripts/e2e/Dockerfile.qr-import"",""line"":3},{""code"":""WORKDIR /app"",""desc"":""随后将工作目录切换至 /app，此操作由 root 执行，目录所有权归 root 所有。在漏洞链路中，这一步为后续文件复制与依赖安装预设了 root 属主的文件系统上下文，使得整个应用的工作区从一开始便处于高特权环境中，进一步加深了权限滥用的潜在影响范围。"",""file"":""scripts/e2e/Dockerfile.qr-import"",""line"":5},{""code"":""COPY . ."",""desc"":""紧接着将宿主机项目目录的全部内容复制至容器工作区，复制操作在 root 上下文中执行，写入的所有文件均以 root 为属主。在漏洞链路中，这一步使应用代码以完全特权的状态落入容器，为随后在 root 身份下执行依赖安装脚本提供了条件，同时也意味着任何敏感配置文件将暴露于不受限制的特权进程之下。"",""file"":""scripts/e2e/Dockerfile.qr-import"",""line"":7},{""code"":""RUN pnpm install --frozen-lockfile"",""desc"":""最终，在链路末端以 root 身份执行依赖安装，完成对整条特权传播路径的收束。从基础镜像引入 root 默认用户开始，经过 corepack 激活、工作目录创建、代码文件写入，直至此处的包安装与 install 钩子执行，整条链路始终未发生用户身份降级，root 特权贯穿构建全程并延伸至容器运行时，构成不必要特权执行的完整闭环。"",""file"":""scripts/e2e/Dockerfile.qr-import"",""line"":9}]","[{""code"":""FROM node:22-bookworm\n\nRUN corepack enable\n\nWORKDIR /app\n\nCOPY . .\n\nRUN pnpm install --frozen-lockfile"",""desc"":""对 scripts/e2e/Dockerfile.qr-import 第 1-9 行整段范围的单一配置传播步：声明端确立 root 默认用户，构建端（corepack enable / COPY . . / pnpm install）以 root 身份执行但不改变权限状态，未声明运行时 CMD 但镜像默认行为仍以 root 运行。整个配置路径中缺少 USER 指令是关键失败点，因此 trace 折叠为单节点覆盖整段配置。"",""file"":""scripts/e2e/Dockerfile.qr-import"",""line"":""1-9""}]","Collapsed verbose taint chain into a single config-propagation step: this vulnerability is a structural absence (missing USER / sudo-overridden USER), not a taint flow, so per-step tracing is misleading."
entry-00242,critical_operation,critical_operation,scripts/e2e/Dockerfile.qr-import,9,RUN pnpm install --frozen-lockfile,此指令在 root 权限下执行 pnpm 包管理器的依赖安装，是漏洞危害落地的关键节点。由于 Dockerfile 全程缺少用户切换，安装过程及其触发的任何 install 脚本均以 uid=0 身份运行，攻击者一旦在此阶段注入恶意依赖，便可借助完整的 root 权限对容器环境实施任意操作，显著拓宽攻击面。,scripts/e2e/Dockerfile.qr-import,1-9,"FROM node:22-bookworm

RUN corepack enable

WORKDIR /app

COPY . .

RUN pnpm install --frozen-lockfile",scripts/e2e/Dockerfile.qr-import 第 1-9 行（整段配置）构成 CWE-250 过度特权漏洞的直接根因：该 Dockerfile 长度虽短但仍无任何 USER 指令，从 FROM 到最后一个 RUN 全程以 root 身份执行。特权状态在该范围内从基础镜像（root 默认用户）经 corepack enable、依赖拷贝与 pnpm install 一路向下传递，缺位的 USER 指令使整个构建—执行流程继承 root 权限。,"{""code"":""RUN pnpm install --frozen-lockfile"",""desc"":""此指令在 root 权限下执行 pnpm 包管理器的依赖安装，是漏洞危害落地的关键节点。由于 Dockerfile 全程缺少用户切换，安装过程及其触发的任何 install 脚本均以 uid=0 身份运行，攻击者一旦在此阶段注入恶意依赖，便可借助完整的 root 权限对容器环境实施任意操作，显著拓宽攻击面。"",""file"":""scripts/e2e/Dockerfile.qr-import"",""line"":9}","{""code"":""FROM node:22-bookworm\n\nRUN corepack enable\n\nWORKDIR /app\n\nCOPY . .\n\nRUN pnpm install --frozen-lockfile"",""desc"":""scripts/e2e/Dockerfile.qr-import 第 1-9 行（整段配置）构成 CWE-250 过度特权漏洞的直接根因：该 Dockerfile 长度虽短但仍无任何 USER 指令，从 FROM 到最后一个 RUN 全程以 root 身份执行。特权状态在该范围内从基础镜像（root 默认用户）经 corepack enable、依赖拷贝与 pnpm install 一路向下传递，缺位的 USER 指令使整个构建—执行流程继承 root 权限。"",""file"":""scripts/e2e/Dockerfile.qr-import"",""line"":""1-9""}","Expanded from a single sink line (CMD/ENTRYPOINT) to the structural defect range: the root cause is the absence of USER instruction, so the whole Dockerfile must be marked to convey the structural absence."
entry-00242,entry_point,entry_point,scripts/e2e/Dockerfile.qr-import,1,FROM node:22-bookworm,此行声明基础镜像为 node:22-bookworm，该镜像的默认用户为 root（uid=0）。整个漏洞的起点在此：后续所有 RUN 指令及容器内的应用进程均继承此权限上下文，而 Dockerfile 全程未添加任何用户切换指令以打破这一默认状态，形成以不必要特权运行的根源。,scripts/e2e/Dockerfile.qr-import,1,FROM node:22-bookworm,以 node:22-bookworm 为构建起点的基础镜像声明。该镜像内建默认活跃用户为 root（uid=0），FROM 指令由此把 root 上下文引入镜像，是整条特权传播链的源头；在缺少 USER 指令覆盖默认身份的配置类漏洞中，FROM 即 entry_point。,"{""code"":""FROM node:22-bookworm"",""desc"":""此行声明基础镜像为 node:22-bookworm，该镜像的默认用户为 root（uid=0）。整个漏洞的起点在此：后续所有 RUN 指令及容器内的应用进程均继承此权限上下文，而 Dockerfile 全程未添加任何用户切换指令以打破这一默认状态，形成以不必要特权运行的根源。"",""file"":""scripts/e2e/Dockerfile.qr-import"",""line"":1}","{""code"":""FROM node:22-bookworm"",""desc"":""以 node:22-bookworm 为构建起点的基础镜像声明。该镜像内建默认活跃用户为 root（uid=0），FROM 指令由此把 root 上下文引入镜像，是整条特权传播链的源头；在缺少 USER 指令覆盖默认身份的配置类漏洞中，FROM 即 entry_point。"",""file"":""scripts/e2e/Dockerfile.qr-import"",""line"":1}",Retained FROM as entry_point; desc simplified to clearly state that this line establishes the unsafe default and that the missing USER is the structural defect.
entry-00242,vuln_category,vuln_category_l1/l2,(n/a),(n/a),特权提升 / 容器以不必要特权运行,(unchanged),(n/a),(n/a),特权提升 / 容器以不必要特权运行,(unchanged),"{""vuln_category_l1"":""特权提升"",""vuln_category_l2"":""容器以不必要特权运行""}","{""vuln_category_l1"":""特权提升"",""vuln_category_l2"":""容器以不必要特权运行""}",l1/l2 already accurate; no new meta category introduced (per Q11).
entry-00243,trace,trace,multiple (per-step RUN/FROM/ENTRYPOINT nodes),see original row,5 taint-style trace nodes,see original_value_json for the exact pre-fix trace array,scripts/docker/install-sh-e2e/Dockerfile,1-14,"FROM node:22-bookworm-slim

RUN apt-get update \
  && apt-get install -y --no-install-recommends \
    bash \
    ca-certificates \
    curl \
    git \
  && rm -rf /var/lib/apt/lists/*

COPY run.sh /usr/local/bin/openclaw-install-e2e
RUN chmod +x /usr/local/bin/openclaw-install-e2e

ENTRYPOINT [""/usr/local/bin/openclaw-install-e2e""]",对 scripts/docker/install-sh-e2e/Dockerfile 第 1-14 行整段范围的单一配置传播步：声明端（FROM）确立 root 默认用户，构建端（apt-get 安装系统包、COPY run.sh、chmod +x）以 root 身份执行但不改变权限状态，运行时端（ENTRYPOINT）以 root 进程兑现特权。整段配置路径中缺少 USER 指令是关键失败点；trace 因此折叠为单节点覆盖整段配置。,"[{""code"":""FROM node:22-bookworm-slim"",""desc"":""传播链首步：FROM node:22-bookworm-slim 确立镜像构建基点，该基础镜像以 root（uid 0）作为内置默认用户。此处未附加 USER 声明，使后续所有 RUN、COPY、ENTRYPOINT 指令均在未受限制的 root 上下文中执行，为整条特权传播链提供根基。"",""file"":""scripts/docker/install-sh-e2e/Dockerfile"",""line"":1},{""code"":""RUN apt-get update \\"",""desc"":""随后，RUN apt-get update 以 FROM 层继承的 root 身份执行软件包索引刷新与运行时依赖安装（bash、ca-certificates、curl、git 等）。以 root 身份进行系统包管理意味着所安装内容对系统路径拥有无限制写权限，在调用链上游确立了高特权的构建环境，为后续工件部署步骤创造前提。"",""file"":""scripts/docker/install-sh-e2e/Dockerfile"",""line"":3},{""code"":""COPY run.sh /usr/local/bin/openclaw-install-e2e"",""desc"":""在调用链下游，COPY 指令以 root 身份将构建上下文中的 run.sh 植入系统级路径 /usr/local/bin/openclaw-install-e2e。系统二进制目录普通用户无法写入；以 root 执行复制使该文件继承高权限属主，是构建时 root 特权向运行时可执行工件传递的关键衔接节点。"",""file"":""scripts/docker/install-sh-e2e/Dockerfile"",""line"":11},{""code"":""RUN chmod +x /usr/local/bin/openclaw-install-e2e"",""desc"":""随后，RUN chmod +x 在持续的 root 上下文中为 /usr/local/bin/openclaw-install-e2e 设置可执行位，完成对前一步骤所部署脚本的权限激活。该操作是后续 ENTRYPOINT 指令能够在容器启动时直接调用该脚本的必要前提，充当特权传播链的倒数第二环。"",""file"":""scripts/docker/install-sh-e2e/Dockerfile"",""line"":12},{""code"":""ENTRYPOINT [\""/usr/local/bin/openclaw-install-e2e\""]"",""desc"":""传播链末步：ENTRYPOINT 将经 chmod +x 激活的 /usr/local/bin/openclaw-install-e2e 设定为容器主进程。全程未出现 USER 指令，该脚本在容器启动时以 uid 0 运行，特权传播链在此完全闭合，CWE-250 过度特权在运行时最终得到完整实现。"",""file"":""scripts/docker/install-sh-e2e/Dockerfile"",""line"":14}]","[{""code"":""FROM node:22-bookworm-slim\n\nRUN apt-get update \\\n  && apt-get install -y --no-install-recommends \\\n    bash \\\n    ca-certificates \\\n    curl \\\n    git \\\n  && rm -rf /var/lib/apt/lists/*\n\nCOPY run.sh /usr/local/bin/openclaw-install-e2e\nRUN chmod +x /usr/local/bin/openclaw-install-e2e\n\nENTRYPOINT [\""/usr/local/bin/openclaw-install-e2e\""]"",""desc"":""对 scripts/docker/install-sh-e2e/Dockerfile 第 1-14 行整段范围的单一配置传播步：声明端（FROM）确立 root 默认用户，构建端（apt-get 安装系统包、COPY run.sh、chmod +x）以 root 身份执行但不改变权限状态，运行时端（ENTRYPOINT）以 root 进程兑现特权。整段配置路径中缺少 USER 指令是关键失败点；trace 因此折叠为单节点覆盖整段配置。"",""file"":""scripts/docker/install-sh-e2e/Dockerfile"",""line"":""1-14""}]","Collapsed verbose taint chain into a single config-propagation step: this vulnerability is a structural absence (missing USER / sudo-overridden USER), not a taint flow, so per-step tracing is misleading."
entry-00243,critical_operation,critical_operation,scripts/docker/install-sh-e2e/Dockerfile,14,"ENTRYPOINT [""/usr/local/bin/openclaw-install-e2e""]",ENTRYPOINT 指令将 /usr/local/bin/openclaw-install-e2e 注册为容器默认启动入口。由于 FROM 层确立的 root 身份自始至终未被 USER 指令中断，该脚本在容器实例化时以 uid 0 被调用，是特权传播链的终止节点，也是 CWE-250 过度特权在运行时得以完整兑现的关键指令。,scripts/docker/install-sh-e2e/Dockerfile,1-14,"FROM node:22-bookworm-slim

RUN apt-get update \
  && apt-get install -y --no-install-recommends \
    bash \
    ca-certificates \
    curl \
    git \
  && rm -rf /var/lib/apt/lists/*

COPY run.sh /usr/local/bin/openclaw-install-e2e
RUN chmod +x /usr/local/bin/openclaw-install-e2e

ENTRYPOINT [""/usr/local/bin/openclaw-install-e2e""]","scripts/docker/install-sh-e2e/Dockerfile 第 1-14 行（整段配置）构成 CWE-250 过度特权漏洞的直接根因：从基础镜像（root 默认用户）到 ENTRYPOINT 入口脚本，整段配置路径没有任何 USER 指令切换至非特权账户。系统包安装、二进制部署、权限激活均以 root 身份完成，最终 ENTRYPOINT ""/usr/local/bin/openclaw-install-e2e"" 以 root 进程运行。","{""code"":""ENTRYPOINT [\""/usr/local/bin/openclaw-install-e2e\""]"",""desc"":""ENTRYPOINT 指令将 /usr/local/bin/openclaw-install-e2e 注册为容器默认启动入口。由于 FROM 层确立的 root 身份自始至终未被 USER 指令中断，该脚本在容器实例化时以 uid 0 被调用，是特权传播链的终止节点，也是 CWE-250 过度特权在运行时得以完整兑现的关键指令。"",""file"":""scripts/docker/install-sh-e2e/Dockerfile"",""line"":14}","{""code"":""FROM node:22-bookworm-slim\n\nRUN apt-get update \\\n  && apt-get install -y --no-install-recommends \\\n    bash \\\n    ca-certificates \\\n    curl \\\n    git \\\n  && rm -rf /var/lib/apt/lists/*\n\nCOPY run.sh /usr/local/bin/openclaw-install-e2e\nRUN chmod +x /usr/local/bin/openclaw-install-e2e\n\nENTRYPOINT [\""/usr/local/bin/openclaw-install-e2e\""]"",""desc"":""scripts/docker/install-sh-e2e/Dockerfile 第 1-14 行（整段配置）构成 CWE-250 过度特权漏洞的直接根因：从基础镜像（root 默认用户）到 ENTRYPOINT 入口脚本，整段配置路径没有任何 USER 指令切换至非特权账户。系统包安装、二进制部署、权限激活均以 root 身份完成，最终 ENTRYPOINT \""/usr/local/bin/openclaw-install-e2e\"" 以 root 进程运行。"",""file"":""scripts/docker/install-sh-e2e/Dockerfile"",""line"":""1-14""}","Expanded from a single sink line (CMD/ENTRYPOINT) to the structural defect range: the root cause is the absence of USER instruction, so the whole Dockerfile must be marked to convey the structural absence."
